Electricity:Facility,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3
599045.9547,23.04596774,77.16319444,219.8065636,31,8.810299595,11.44835783,0.575401391
543097.3054,20.35770833,84.16527778,153.3049769,30,8.810299595,11.44835783,0.575401391
458619.8742,12.89782706,75.73711918,157.4538157,31,8.810299595,11.44835783,0.575401391
412484.1173,9.760949074,74.10636574,128.5277006,30,8.810299595,11.44835783,0.575401391
401579.1907,5.489852151,75.55857975,140.3433766,31,8.810299595,11.44835783,0.575401391
384986.1691,-2.113575269,70.30320341,156.7973417,31,11.83797439,9.113304636,0.545902425
359079.6931,1.942956349,62.61458333,188.2471892,28,11.83797439,9.113304636,0.545902425
411957.515,5.43313172,62.39908154,197.9807721,31,11.83797439,9.113304636,0.545902425
427347.2082,12.56460648,68.95763889,135.3763503,30,11.83797439,9.113304636,0.545902425
518123.0393,17.91901882,74.3156362,192.3388217,31,11.83797439,9.113304636,0.545902425
552372.0325,22.21377315,69.30104167,225.3063657,30,11.83797439,9.113304636,0.545902425
600892.9425,26.66420251,66.30790771,284.5905765,31,11.83797439,9.113304636,0.545902425
