Electricity:Facility,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4
505927.6773,22.21377315,69.30104167,225.3063657,30,8.749971786,9.45723644,0.641479409,0.000242461
554159.4842,26.66420251,66.30790771,284.5905765,31,8.749971786,9.45723644,0.641479409,0.000242461
545727.9286,23.04596774,77.16319444,219.8065636,31,8.749971786,9.45723644,0.641479409,0.000242461
495266.8403,20.35770833,84.16527778,153.3049769,30,8.749971786,9.45723644,0.641479409,0.000242461
416014.5194,12.89782706,75.73711918,157.4538157,31,8.749971786,9.45723644,0.641479409,0.000242461
373344.9465,9.760949074,74.10636574,128.5277006,30,8.749971786,9.45723644,0.641479409,0.000242461
362698.3822,5.489852151,75.55857975,140.3433766,31,8.749971786,9.45723644,0.641479409,0.000242461
428824.0675,-2.113575269,70.30320341,156.7973417,31,10.53980524,12.55451329,0.623820394,0.000271895
400365.9504,1.942956349,62.61458333,188.2471892,28,10.53980524,12.55451329,0.623820394,0.000271895
459234.4357,5.43313172,62.39908154,197.9807721,31,10.53980524,12.55451329,0.623820394,0.000271895
473859.0318,12.56460648,68.95763889,135.3763503,30,10.53980524,12.55451329,0.623820394,0.000271895
570343.44,17.91901882,74.3156362,192.3388217,31,10.53980524,12.55451329,0.623820394,0.000271895
605992.8757,22.21377315,69.30104167,225.3063657,30,10.53980524,12.55451329,0.623820394,0.000271895
659221.7076,26.66420251,66.30790771,284.5905765,31,10.53980524,12.55451329,0.623820394,0.000271895
654189.6975,23.04596774,77.16319444,219.8065636,31,10.53980524,12.55451329,0.623820394,0.000271895
592419.1123,20.35770833,84.16527778,153.3049769,30,10.53980524,12.55451329,0.623820394,0.000271895
503335.8597,12.89782706,75.73711918,157.4538157,31,10.53980524,12.55451329,0.623820394,0.000271895
453573.0873,9.760949074,74.10636574,128.5277006,30,10.53980524,12.55451329,0.623820394,0.000271895
442165.7103,5.489852151,75.55857975,140.3433766,31,10.53980524,12.55451329,0.623820394,0.000271895
359216.168,-2.113575269,70.30320341,156.7973417,31,10.63922684,8.654647841,0.684216563,0.000299285
335289.128,1.942956349,62.61458333,188.2471892,28,10.63922684,8.654647841,0.684216563,0.000299285
383923.2419,5.43313172,62.39908154,197.9807721,31,10.63922684,8.654647841,0.684216563,0.000299285
399199.0004,12.56460648,68.95763889,135.3763503,30,10.63922684,8.654647841,0.684216563,0.000299285
484544.4672,17.91901882,74.3156362,192.3388217,31,10.63922684,8.654647841,0.684216563,0.000299285
517115.8512,22.21377315,69.30104167,225.3063657,30,10.63922684,8.654647841,0.684216563,0.000299285
564658.0419,26.66420251,66.30790771,284.5905765,31,10.63922684,8.654647841,0.684216563,0.000299285
557933.2754,23.04596774,77.16319444,219.8065636,31,10.63922684,8.654647841,0.684216563,0.000299285
505770.24,20.35770833,84.16527778,153.3049769,30,10.63922684,8.654647841,0.684216563,0.000299285
424974.4528,12.89782706,75.73711918,157.4538157,31,10.63922684,8.654647841,0.684216563,0.000299285
